ISBN13	Title	Format	Status	ISBN	KINDLE	Published	 List Price 	 Cost 	40%	New 	 AUTHOR COPY 	 Author 	Contract	IsDistributed	House
1981006001	Establishing Glory: The Praise and Worship Handbook	Digital online	AC (USA)	1981006001	B07CV3PL7C	2018-05-04		 -   	 -   		 0.40 	 Jackie Smith, Jr. 	1	Y	
978-0-578523-71-2	Uncomfortable Conversations with God	Paperback	AC (USA)	9780578523712		2019-09-09	 10.99 	 -   	 4.40 	 1.50 	 4.40 	 Leslie Banks 	1	Y	Y
978-0-9852631-2-6	God’s Business Plan	Paperback	AC (USA)	9780985263126		2022-06-01	 14.99 	 3.48 	 6.00 	 4.98 	 6.00 	 Terry Stephens 	1	Y	
978-0-9852631-3-3	God’s Business Plan	Ebook	AC (USA)	9780985263133		2022-06-01	 -   	 -   	 -   		 0.40 	 Terry Stephens 	1	Y	
978-1-731131-77-5	Establishing Glory: The Relationship Handbook	Paperback	AC (USA)	9781731131775		2018-11-22	 19.99 	 1.00 	 8.00 	 2.50 	 8.00 	 Jackie Smith, Jr. 	1	Y	Y
978-1-735425-03-1	27 Days to Overcoming Depression	Ebook	AC (USA)	9781735428031		2025-02-01	 -   	 -   	 -   		 0.40 	 Donjia Walls 	1	Y	
978-1-792313-70-7	Come Out of Hiding	Paperback	AC (USA)	9781792313707		2020-02-02	 9.99 	 2.43 	 4.00 	 3.93 	 4.00 	 Christina Chislom 	1	Y	Y
978-1-950719-00-6	Establishing Glory	Paperback	AC (USA)	9781950719006		2019-04-03	 19.99 	 2.83 	 8.00 	 4.33 	 8.00 	 Jackie Smith, Jr. 	1	Y	Y
978-1-950719-01-3	Establishing Glory	Ebook	AC (USA)	9781950719013	B07YX7B5WR	2019-04-03	 19.99 	 -   	 8.00 		 8.00 	 Jackie Smith, Jr. 	1	Y	
978-1-950719-02-0	Establishing Glory	Hardback	AC (USA)	9781950719020		2019-04-06	 24.99 	 6.71 	 10.00 	 8.21 	 10.00 	 Jackie Smith, Jr. 	1	Y	Y
978-1-950719-03-7	Establishing Glory 2	Paperback	AC (USA)	9781950719037		2019-04-14	 19.99 	 3.14 	 8.00 	 4.64 	 8.00 	 Jackie Smith, Jr. 	1	Y	Y
978-1-950719-04-4	Establishing Glory 2	Ebook - EPUB	AC (USA)	9781950719044	B07YXGFX8P	2019-04-14	 -   	 -   	 -   		 0.40 	 Jackie Smith, Jr. 	1	Y	
978-1-950719-05-1	Establishing Glory 2	Hardback	AC (USA)	9781950719051		2019-04-15	 24.99 	 7.00 	 10.00 	 8.50 	 10.00 	 Jackie Smith, Jr. 	1	Y	Y
978-1-950719-06-8	The Girl with the Ebony Locs and the Three Bears	Paperback	AC (USA)	9781950719068		2019-10-01	 9.99 	 2.31 	 4.00 	 3.81 	 4.00 	 Deborah Eiland 	1	Y	
978-1-950719-07-5	The Girl with the Ebony Locs and the Three Bears	Ebook	AC (USA)	9781950719075	B081PRHKL5	2019-11-18	 -   	 -   	 -   		 0.40 	 Deborah Eiland 	1	Y	
978-1-950719-08-2	The Celestial Advantage	Paperback	AC (USA)	9781950719082		2019-10-15	 9.99 	 2.11 	 4.00 	 3.61 	 4.00 	 Obadiah Harris 	1	Y	Y
978-1-950719-09-9	The Celestial Advantage	Ebook	AC (USA)	9781950719099	B07Z7K2R6W	2019-10-15	 -   	 -   	 -   		 0.40 	 Obadiah Harris 	1	Y	
978-1-950719-10-5	Number 23 and Me	Paperback	AC (USA)	9781950719105		2020-04-23	 22.99 	 9.70 	 9.20 	 11.20 	 10.10 	 Wayne Pounds 	1	Y	Y
978-1-950719-11-2	Uncomfortable Conversations with God	Ebook	AC (USA)	9781950719112		2019-09-09	 -   	 -   	 -   		 0.40 	 Leslie Banks 	1	Y	
978-1-950719-12-9	Number 23 and Me	Ebook	AC (USA)	9781950719129	B081HF4X12	2020-04-23	 -   	 -   	 -   		 0.40 	 Wayne Pounds 	1	Y	
978-1-950719-13-6	Establishing Glory 3	Paperback	AC (USA)	9781950719136		2019-11-11	 19.99 	 3.60 	 8.00 	 5.10 	 8.00 	 Jackie Smith, Jr. 	1	Y	Y
978-1-950719-14-3	Establishing Glory 3	Ebook	AC (USA)	9781950719143	B07Z5GP3LC	2019-11-11	 -   	 -   	 -   		 0.40 	 Jackie Smith, Jr. 	1	Y	
