package,cash_price,plan,payments,current_installments,current_transaction_fees,current_total_before_tax,model_b_simple_6pct_total,model_c_declining_6pct_total,model_d_compound_6pct_total
Starter,1999.00,Full Pay,1,$1999.00,0.00,1999.00,1999.00,1999.00,1999.00
Starter,1999.00,2-Pay,2,$999.50; $999.50,79.96,2078.96,2009.00,2004.00,2014.00
Starter,1999.00,4-Pay,4,$499.75; $499.75; $499.75; $499.75,79.96,2078.96,2028.99,2014.00,2024.04
Starter,1999.00,8-Pay,8,$249.88; $249.88; $249.88; $249.88; $249.88; $249.88; $249.88; $249.84,79.99,2078.99,2068.97,2034.00,2044.24
Professional,4500.00,Full Pay,1,$4500.00,0.00,4500.00,4500.00,4500.00,4500.00
Professional,4500.00,2-Pay,2,$2250.00; $2250.00,180.00,4680.00,4522.50,4511.25,4533.78
Professional,4500.00,4-Pay,4,$1125.00; $1125.00; $1125.00; $1125.00,180.00,4680.00,4567.50,4533.76,4556.40
Professional,4500.00,8-Pay,8,$562.50; $562.50; $562.50; $562.50; $562.50; $562.50; $562.50; $562.50,180.00,4680.00,4657.50,4578.76,4601.84
Premier/Signature,7500.00,Full Pay,1,$7500.00,0.00,7500.00,7500.00,7500.00,7500.00
Premier/Signature,7500.00,2-Pay,2,$3750.00; $3750.00,300.00,7800.00,7537.50,7518.75,7556.30
Premier/Signature,7500.00,4-Pay,4,$1875.00; $1875.00; $1875.00; $1875.00,300.00,7800.00,7612.50,7556.26,7594.00
Premier/Signature,7500.00,8-Pay,8,$937.50; $937.50; $937.50; $937.50; $937.50; $937.50; $937.50; $937.50,300.00,7800.00,7762.50,7631.26,7669.76
