"CanonicalProjectKey","CanonicalTitle","RawTitle","RawAuthor","RawIntakeID","RawProjectTitleID","RawLifecycleContext","RawWaitingOn","RawPriority","RecordClassification","NotesEvidence"
"title:f1908dc9-5775-f111-ab0f-6045bdd69435","Establishing Glory: The Library","Establishing Glory: The Library","Jackie Smith, Jr.","9625a1d4-7e6a-f111-a826-7c1e525b15c2","f1908dc9-5775-f111-ab0f-6045bdd69435","ACTIVE_EDITORIAL","WAITING_ON_JMP","P1","CANONICAL_CURRENT","intake:JMP-INT-202606-UFYG6O; diagnostic:64e387e0-7e6a-f111-a826-00224820105b; title:f1908dc9-5775-f111-ab0f-6045bdd69435; opportunity:2653fca9-eacd-4c44-b3ed-1764dd5d35aa; stage:3362a1cb-1984-f111-ab0f-000d3a14673b"
"title:2d21ab5b-4d80-f111-ab0f-7c1e525b15c2","The General’s Will and Last Testament","The General’s Will and Last Testament","Iyorwuese Hagher","49bb8498-5d75-f111-ab0f-7c1e525b15c2","2d21ab5b-4d80-f111-ab0f-7c1e525b15c2","ACTIVE_EDITORIAL","WAITING_ON_JMP","P1","CANONICAL_CURRENT","intake:JMP-INT-202607-DL2T20; diagnostic:aa3858a7-6875-f111-ab0f-000d3a14673b; title:2d21ab5b-4d80-f111-ab0f-7c1e525b15c2; stage:c2799c31-8f80-f111-ab0f-00224820105b"
"title:a69b9dfa-bb7b-f111-ab0f-7c1e525b15c2","The Long Watch","The Long Watch","Jackie Smith, Jr.","4320d89c-1676-f111-ab0f-6045bdd69435","a69b9dfa-bb7b-f111-ab0f-7c1e525b15c2","ACTIVE_EDITORIAL","WAITING_ON_JMP","P1","CANONICAL_CURRENT","intake:JMP-INT-202607-6R2MPZ; title:a69b9dfa-bb7b-f111-ab0f-7c1e525b15c2; stage:12d961fc-0f85-f111-ab0f-00224820105b"
"title:a69b9dfa-bb7b-f111-ab0f-7c1e525b15c2","The Long Watch","The Long Watch","Jackie Smith Jr","72963b3f-1d76-f111-ab0f-6045bdd69678","a69b9dfa-bb7b-f111-ab0f-7c1e525b15c2","ACTIVE_EDITORIAL","WAITING_ON_JMP","P1","CANONICAL_LINEAGE","intake:JMP-INT-202607-SJ8K0P; diagnostic:561ffec7-1d76-f111-ab0f-7c1e525b15c2; title:a69b9dfa-bb7b-f111-ab0f-7c1e525b15c2; stage:12d961fc-0f85-f111-ab0f-00224820105b"
"title:a69b9dfa-bb7b-f111-ab0f-7c1e525b15c2","The Long Watch","The Long Watch","Jackie Smith, Jr.","8bc63386-1076-f111-ab0f-000d3a14673b","a69b9dfa-bb7b-f111-ab0f-7c1e525b15c2","ACTIVE_EDITORIAL","WAITING_ON_JMP","P1","CANONICAL_LINEAGE","intake:JMP-INT-202607-F5MAZO; title:a69b9dfa-bb7b-f111-ab0f-7c1e525b15c2; stage:12d961fc-0f85-f111-ab0f-00224820105b"
"title:e797232b-da7a-f111-ab0f-00224820105b","The Intentional Leader","The Intentional Leader","Jackie Smith, jr.","7ee95927-5076-f111-ab0f-000d3a14673b","e797232b-da7a-f111-ab0f-00224820105b","EDITORIAL_REVIEW","WAITING_ON_JMP","P1","CANONICAL_LINEAGE","intake:JMP-INT-202607-6BO5Z5; diagnostic:67af5a45-5076-f111-ab0f-6045bdd69738; title:e797232b-da7a-f111-ab0f-00224820105b; stage:c9dee533-4184-f111-ab0f-7c1e525b15c2"
"title:e797232b-da7a-f111-ab0f-00224820105b","The Intentional Leader","The Intentional Leader","Jackie Smith, jr.","762c9d30-5376-f111-ab0f-000d3a14673b","e797232b-da7a-f111-ab0f-00224820105b","EDITORIAL_REVIEW","WAITING_ON_JMP","P1","CANONICAL_LINEAGE","intake:JMP-INT-202607-OXIZZP; diagnostic:cc32d83c-5376-f111-ab0f-000d3a14673b; title:e797232b-da7a-f111-ab0f-00224820105b; stage:c9dee533-4184-f111-ab0f-7c1e525b15c2"
"title:e797232b-da7a-f111-ab0f-00224820105b","The Intentional Leader","The Intentional Leader","Jackie Smith, jr.","64aa3c46-6076-f111-ab0f-00224820105b","e797232b-da7a-f111-ab0f-00224820105b","ACTIVE_EDITORIAL","WAITING_ON_PROSPECT","P3","CANONICAL_CURRENT","intake:JMP-INT-202607-0W5PTQ; diagnostic:18cb5c53-6076-f111-ab0f-000d3a9eacee; title:e797232b-da7a-f111-ab0f-00224820105b; opportunity:51549300-4978-f111-ab0f-000d3a14673b; stage:c9dee533-4184-f111-ab0f-7c1e525b15c2"
"title:91c5e1ef-2980-f111-ab0f-7c1e525b15c2","Before You Were Born","Before You Were Born","Sean Crowley","a06d02e0-3b7c-f111-ab0f-000d3a14673b","91c5e1ef-2980-f111-ab0f-7c1e525b15c2","EDITORIAL_REVIEW","WAITING_ON_JMP","P1","CANONICAL_CURRENT","intake:JMP-INT-202607-LQPHEK; diagnostic:e71ea2ef-3b7c-f111-ab0f-6045bdd69435; title:91c5e1ef-2980-f111-ab0f-7c1e525b15c2; stage:88189235-8f80-f111-ab0f-6045bdd69435"
"intake:74719cd6-cd95-f111-8076-6045bdd69678","Indomitable Indomitable Escaping Witchcraft and Finding My Identity in Christ","Indomitable Indomitable Escaping Witchcraft and Finding My Identity in Christ","Quanisha Dockery","74719cd6-cd95-f111-8076-6045bdd69678","","EDITORIAL_REVIEW","WAITING_ON_JMP","P2","CANONICAL_CURRENT","intake:JMP-INT-202608-0AOS7L; diagnostic:572a89ef-cd95-f111-8076-7c1e525b15c2"
