"Title / Working Title","Author Public/Pen Name","Project/Title ID","ReconciliationReason","DuplicateGroupKey","DuplicateGroupSize","OperationallyActive"
"You're Still Not Crazy","Carolyn Booker-Pierce","1b2ac7e9-b389-f111-ab10-000d3a9eacee","LEGACY_DUPLICATE","you re still not crazy carolyn booker pierce","2","NO"
"Your brain has too much what, mommy??","Essence Easley","1c2ac7e9-b389-f111-ab10-000d3a9eacee","LEGACY_DUPLICATE","your brain has too much what mommy essence easley","2","NO"
"Your Brain Has Too Much What, Mommy??","Essence Easley","cdd3f1ec-b389-f111-ab10-00224820105b","LEGACY_DUPLICATE","your brain has too much what mommy essence easley","2","NO"
"Your Peace Is a Priority","Kiena Hughley","2bc2cae9-b389-f111-ab10-6045bdd69435","LEGACY_DUPLICATE","your peace is priority kiena hughley","2","NO"
"Your Peace Is a Priority","Kiena Hughley","66137ed6-c27a-f111-ab0f-6045bdd69738","LEGACY_DUPLICATE","your peace is priority kiena hughley","2","NO"
"Words of A Troubled Soul","David Williams","bc4188ed-b389-f111-ab10-000d3a14673b","LEGACY_DUPLICATE","words of troubled soul david williams","3","NO"
"You're Still Not Crazy","Carolyn Booker-Pierce","a74b00d4-c27a-f111-ab0f-00224820105b","LEGACY_DUPLICATE","you re still not crazy carolyn booker pierce","2","NO"
"Words of a Troubled Soul","David Williams","c8d3f1ec-b389-f111-ab10-00224820105b","LEGACY_DUPLICATE","words of troubled soul david williams","3","NO"
"Why Faith Works For Some And Not For Others","Rodney Waller","e1b26aed-b389-f111-ab10-6045bdd69738","LEGACY_DUPLICATE","why faith works for some and not for others rodney waller","2","NO"
"Words of a Troubled Soul","David Williams","604797d0-c27a-f111-ab0f-7c1e525b15c2","LEGACY_DUPLICATE","words of troubled soul david williams","3","NO"
"Why Faith Works for Some and Not for Others","Rodney Waller","9e8ffdd6-c27a-f111-ab0f-7c1e525b15c2","LEGACY_DUPLICATE","why faith works for some and not for others rodney waller","2","NO"
"When Zuri Came to Earth","Gwendolyn Rucker-Carr","900464ec-b389-f111-ab10-7c1e525b15c2","LEGACY_DUPLICATE","when zuri came to earth gwendolyn rucker carr","2","NO"
"Warriors and Angels","Shelley McIntosh","d9f603d3-c27a-f111-ab0f-000d3a14673b","LEGACY_DUPLICATE","warriors and angels shelley mcintosh","2","NO"
"What Goes up Must Come down Let's Face It","Carol Roye","192ac7e9-b389-f111-ab10-000d3a9eacee","LEGACY_DUPLICATE","what goes up must come down let s face it carol roye","2","NO"
"When a Thug Meets Jesus","Mack Hughley","9a4b00d4-c27a-f111-ab0f-00224820105b","LEGACY_DUPLICATE","when thug meets jesus mack hughley","2","NO"
"Warriors and Angels","Shelley McIntosh","676290ea-b389-f111-ab10-6045bdd69678","LEGACY_DUPLICATE","warriors and angels shelley mcintosh","2","NO"
"When a Thug Meets Jesus","Mack Hughley","6c6290ea-b389-f111-ab10-6045bdd69678","LEGACY_DUPLICATE","when thug meets jesus mack hughley","2","NO"
"Warrior's Breed","Dean Wilson","935f72d0-c27a-f111-ab0f-6045bdd69738","LEGACY_DUPLICATE","warrior s breed dean wilson","2","NO"
"When Zuri Came to Earth","Gwendolyn Rucker-Carr","65137ed6-c27a-f111-ab0f-6045bdd69738","LEGACY_DUPLICATE","when zuri came to earth gwendolyn rucker carr","2","NO"
"What Goes Up Must Come Down Let's Face It","Carol Roye","810464ec-b389-f111-ab10-7c1e525b15c2","LEGACY_DUPLICATE","what goes up must come down let s face it carol roye","2","NO"
"Uncomfortable Conversations with God","Leslie Banks","c9f603d3-c27a-f111-ab0f-000d3a14673b","LEGACY_DUPLICATE","uncomfortable conversations with god leslie banks","2","NO"
"War Mother","Winter Dockery","128ce1e6-b389-f111-ab10-000d3a14673b","LEGACY_DUPLICATE","war mother winter dockery","2","NO"
"Understanding the Misunderstood","Tia Benincase","172ac7e9-b389-f111-ab10-000d3a9eacee","LEGACY_DUPLICATE","understanding misunderstood tia benincase","2","NO"
"Understanding the Misunderstood","Tia Benincase","994b00d4-c27a-f111-ab0f-00224820105b","LEGACY_DUPLICATE","understanding misunderstood tia benincase","2","NO"
"Warrior's Breed","Dean Wilson","fec27b7a-cc7a-f111-ab0f-6045bdd69435","LEGACY_DUPLICATE","warrior s breed dean wilson","2","NO"
"Uncomfortable Conversations with God","Leslie Banks","22c2cae9-b389-f111-ab10-6045bdd69435","LEGACY_DUPLICATE","uncomfortable conversations with god leslie banks","2","NO"
"The Sun, the Shadow, and the Silence","Devin Gilchrest","426290ea-b389-f111-ab10-6045bdd69678","LEGACY_DUPLICATE","sun shadow and silence devin gilchrest","2","NO"
"War Mother","Winter Dockery","9d8ffdd6-c27a-f111-ab0f-7c1e525b15c2","LEGACY_DUPLICATE","war mother winter dockery","2","NO"
"The Release of the Spirit","Lyle Goddard","d7f603d3-c27a-f111-ab0f-000d3a14673b","LEGACY_DUPLICATE","release of spirit lyle goddard","2","NO"
"The Release of the Spirit","Lyle Goddard","118ce1e6-b389-f111-ab10-000d3a14673b","LEGACY_DUPLICATE","release of spirit lyle goddard","2","NO"
"The Shift","Sean Crowley","112ac7e9-b389-f111-ab10-000d3a9eacee","LEGACY_DUPLICATE","shift sean crowley","2","NO"
"The Princess and the Black-eyed Pea","Deborah Eiland","9f8fefe6-b389-f111-ab10-00224820105b","LEGACY_DUPLICATE","princess and black eyed pea deborah eiland","3","NO"
"The Princess and the Black-eyed Pea","Deborah Eiland","16c2cae9-b389-f111-ab10-6045bdd69435","LEGACY_DUPLICATE","princess and black eyed pea deborah eiland","3","NO"
"The Sun, the Shadow, and the Silence","Devin Gilchrest","62137ed6-c27a-f111-ab0f-6045bdd69738","LEGACY_DUPLICATE","sun shadow and silence devin gilchrest","2","NO"
"The Shift","Sean Crowley","94c2a2e6-b389-f111-ab10-6045bdd69738","LEGACY_DUPLICATE","shift sean crowley","2","NO"
"The Messenger 2","Daphanny Baker","0e8ce1e6-b389-f111-ab10-000d3a14673b","LEGACY_DUPLICATE","messenger 2 daphanny baker","2","NO"
"The Never Before Told Story of the Gelatin Monster","Shaniqua Williams","0f8ce1e6-b389-f111-ab10-000d3a14673b","LEGACY_DUPLICATE","never before told story of gelatin monster shaniqua williams","2","NO"
"The Paper Champ","Felix Catheline","07106fd3-c27a-f111-ab0f-6045bdd69435","LEGACY_DUPLICATE","paper champ felix catheline","2","NO"
"The Paper Champ","Felix Catheline","06c2cae9-b389-f111-ab10-6045bdd69435","LEGACY_DUPLICATE","paper champ felix catheline","2","NO"
"The Princess and the Black-Eyed Pea","Deborah Eiland","19e01ad3-c27a-f111-ab0f-6045bdd69678","LEGACY_DUPLICATE","princess and black eyed pea deborah eiland","3","NO"
"The Never Before Told Story of the Gelatin Monster","Shaniqua Williams","276290ea-b389-f111-ab10-6045bdd69678","LEGACY_DUPLICATE","never before told story of gelatin monster shaniqua williams","2","NO"
"The Messenger 2","Daphanny Baker","69137ed6-c27a-f111-ab0f-6045bdd69738","LEGACY_DUPLICATE","messenger 2 daphanny baker","2","NO"
"The Messenger","Daphanny Baker","bfe16ae6-b389-f111-ab10-7c1e525b15c2","LEGACY_DUPLICATE","messenger daphanny baker","2","NO"
"The Master's Piece","Sylvia Benson","c3f603d3-c27a-f111-ab0f-000d3a14673b","LEGACY_DUPLICATE","master s piece sylvia benson","3","NO"
"The Journey","Rosetta Perry","0b2ac7e9-b389-f111-ab10-000d3a9eacee","LEGACY_DUPLICATE","journey rosetta perry","2","NO"
"The Journey","Rosetta Perry","944b00d4-c27a-f111-ab0f-00224820105b","LEGACY_DUPLICATE","journey rosetta perry","2","NO"
"The Little Girl with the Plow!","Christina Chislom","978fefe6-b389-f111-ab10-00224820105b","LEGACY_DUPLICATE","little girl with plow christina chislom","2","NO"
"The Messenger","Daphanny Baker","930f6fd3-c27a-f111-ab0f-6045bdd69435","LEGACY_DUPLICATE","messenger daphanny baker","2","NO"
"The I Am in Me Part 2","Tekisha Wimbush","e9c1cae9-b389-f111-ab10-6045bdd69435","LEGACY_DUPLICATE","i am in me part 2 tekisha wimbush","2","NO"
"The Master's Piece","Sylvia Benson","733cd77a-cc7a-f111-ab0f-6045bdd69678","LEGACY_DUPLICATE","master s piece sylvia benson","3","NO"
"The Master's Piece","Sylvia Benson","92c2a2e6-b389-f111-ab10-6045bdd69738","LEGACY_DUPLICATE","master s piece sylvia benson","3","NO"
"The Little Girl with the Plow!","Christina Chislom","95e16ae6-b389-f111-ab10-7c1e525b15c2","LEGACY_DUPLICATE","little girl with plow christina chislom","2","NO"
"The Hood","Randall Beverly","c2f603d3-c27a-f111-ab0f-000d3a14673b","LEGACY_DUPLICATE","hood randall beverly","2","NO"
"The Healed Me","Maurche Reed","098ce1e6-b389-f111-ab10-000d3a14673b","LEGACY_DUPLICATE","healed me maurche reed","3","NO"
"The Healed Me","Maurche Reed","072ac7e9-b389-f111-ab10-000d3a9eacee","LEGACY_DUPLICATE","healed me maurche reed","3","NO"
"The I Am in Me","Tekisha Wimbush","968fefe6-b389-f111-ab10-00224820105b","LEGACY_DUPLICATE","i am in me tekisha wimbush","2","NO"
"The I Am in Me","Tekisha Wimbush","e8c1cae9-b389-f111-ab10-6045bdd69435","LEGACY_DUPLICATE","i am in me tekisha wimbush","2","NO"
"The Hood","Randall Beverly","176290ea-b389-f111-ab10-6045bdd69678","LEGACY_DUPLICATE","hood randall beverly","2","NO"
"The Healed Me","Maurche Reed","885f72d0-c27a-f111-ab0f-6045bdd69738","LEGACY_DUPLICATE","healed me maurche reed","3","NO"
"The I Am in Me Part 2","Tekisha Wimbush","8fc2a2e6-b389-f111-ab10-6045bdd69738","LEGACY_DUPLICATE","i am in me part 2 tekisha wimbush","2","NO"
"The Girl with the Ebony Locs and the Three Bears","Deborah Eiland","fe8be1e6-b389-f111-ab10-000d3a14673b","LEGACY_DUPLICATE","girl with ebony locs and three bears deborah eiland","2","NO"
"The Great Hair Restart","Karen Hill","038ce1e6-b389-f111-ab10-000d3a14673b","LEGACY_DUPLICATE","great hair restart karen hill","6","NO"
"The Great Hair Restart","Karen Hill","dfc1cae9-b389-f111-ab10-6045bdd69435","LEGACY_DUPLICATE","great hair restart karen hill","6","NO"
"The Great Hair Restart","Karen Hill","e0c1cae9-b389-f111-ab10-6045bdd69435","LEGACY_DUPLICATE","great hair restart karen hill","6","NO"
"The Girl with the Ebony Locs and the Three Bears","Deborah Eiland","17e01ad3-c27a-f111-ab0f-6045bdd69678","LEGACY_DUPLICATE","girl with ebony locs and three bears deborah eiland","2","NO"
"The Great Hair Restart","Karen Hill","8dc2a2e6-b389-f111-ab10-6045bdd69738","LEGACY_DUPLICATE","great hair restart karen hill","6","NO"
"The Great Hair Restart","Karen Hill","5d4797d0-c27a-f111-ab0f-7c1e525b15c2","LEGACY_DUPLICATE","great hair restart karen hill","6","NO"
"The Great Hair Restart","Karen Hill","28e16ae6-b389-f111-ab10-7c1e525b15c2","LEGACY_DUPLICATE","great hair restart karen hill","6","NO"
