TITLE_ID,TITLE_NAME,CONTACT_ID,AUTHOR_PROFILE_ID,INTAKE_ID,OPPORTUNITY_ID,PUBLISHING_ASSET_IDS,CURRENT_RELATIONSHIPS
5aee90b0-9730-f111-88b4-6045bdd69738,(Untitled),,,,131da28b-919c-f111-b8dc-6045bdd69435,,5aee90b0-9730-f111-88b4-6045bdd69738; 131da28b-919c-f111-b8dc-6045bdd69435
9eb5559c-9630-f111-88b4-7c1e525b15c2,(Untitled),,,,131da28b-919c-f111-b8dc-6045bdd69435,,9eb5559c-9630-f111-88b4-7c1e525b15c2; 131da28b-919c-f111-b8dc-6045bdd69435
dcf603d3-c27a-f111-ab0f-000d3a14673b,101 Wisdom Lessons for Life and Living,,,,,,dcf603d3-c27a-f111-ab0f-000d3a14673b
6e27c7bc-c37a-f111-ab0f-000d3a14673b,27 Days to Overcoming Depression: Debunking All the Lies,,,,,,6e27c7bc-c37a-f111-ab0f-000d3a14673b
6f27c7bc-c37a-f111-ab0f-000d3a14673b,A Principal's Tale: A Self-Determined Leader,,,,,,6f27c7bc-c37a-f111-ab0f-000d3a14673b
3f09d7cb-c27a-f111-ab0f-6045bdd69678,A Trubie's Guide Pt. 1,,,,,,3f09d7cb-c27a-f111-ab0f-6045bdd69678
848904ca-c27a-f111-ab0f-6045bdd69738,A Trubie's Guide Pt. 2,,,,,,848904ca-c27a-f111-ab0f-6045bdd69738
7742c1c2-c37a-f111-ab0f-000d3a14673b,Abortion!: George and Giovanna,,,,,,7742c1c2-c37a-f111-ab0f-000d3a14673b
2d946ac0-c37a-f111-ab0f-00224820105b,Aligned!: Unlocking the DNA of Authentic Faith,,,,,,2d946ac0-c37a-f111-ab0f-00224820105b
dcbc7ebd-c37a-f111-ab0f-6045bdd69678,Are You Sure That You Are Ready?: A Guide for Vendors,,,,,,dcbc7ebd-c37a-f111-ab0f-6045bdd69678
7942c1c2-c37a-f111-ab0f-000d3a14673b,Because the Lord is My Shepherd: Psalm 23 and Me,,,,,,7942c1c2-c37a-f111-ab0f-000d3a14673b
8642c1c2-c37a-f111-ab0f-000d3a14673b,Bodacious: Controversial and Provocative,,,,,,8642c1c2-c37a-f111-ab0f-000d3a14673b
7867a4c3-c37a-f111-ab0f-6045bdd69678,Come Out Of Hiding: Activating Deliverance,,,,,,7867a4c3-c37a-f111-ab0f-6045bdd69678
8742c1c2-c37a-f111-ab0f-000d3a14673b,Connected!: Unlocking the DNA of Authentic Prayer - 2nd Edition,,,,,,8742c1c2-c37a-f111-ab0f-000d3a14673b
7a67a4c3-c37a-f111-ab0f-6045bdd69678,Delicious Ideas!: The Legacy Cookbook,,,,,,7a67a4c3-c37a-f111-ab0f-6045bdd69678
7c67a4c3-c37a-f111-ab0f-6045bdd69678,Discipline and Direction: God's Leadership Style,,,,,,7c67a4c3-c37a-f111-ab0f-6045bdd69678
7d67a4c3-c37a-f111-ab0f-6045bdd69678,Divinely Inspired: Trauma Triumphed,,,,,,7d67a4c3-c37a-f111-ab0f-6045bdd69678
fb3174cd-c27a-f111-ab0f-6045bdd69435,Establishing Glory 2: The Relationship Handbook (2nd Edition),,,,,,fb3174cd-c27a-f111-ab0f-6045bdd69435
9c8797ca-c27a-f111-ab0f-7c1e525b15c2,Establishing Glory 3: The Marriage Handbook,,,,,,9c8797ca-c27a-f111-ab0f-7c1e525b15c2
6e7835ca-c37a-f111-ab0f-6045bdd69678,Inspirations from God: God is Gooood!,,,,,,6e7835ca-c37a-f111-ab0f-6045bdd69678
311405c7-c37a-f111-ab0f-7c1e525b15c2,Jewels by Lady J: A Book of Daily Devotion and Reflection One Day at a Time,,,,,,311405c7-c37a-f111-ab0f-7c1e525b15c2
6f7835ca-c37a-f111-ab0f-6045bdd69678,Just What I Needed: Daily Devotional,,,,,,6f7835ca-c37a-f111-ab0f-6045bdd69678
08bf1ac7-c37a-f111-ab0f-00224820105b,Loving the Addict: While Taking Care of Yourself First,,,,,,08bf1ac7-c37a-f111-ab0f-00224820105b
b4c11ac7-c37a-f111-ab0f-00224820105b,Memoir of a Black Christian Nationalist: Seeds of Liberation,,,,,,b4c11ac7-c37a-f111-ab0f-00224820105b
3b1405c7-c37a-f111-ab0f-7c1e525b15c2,Mirror of Refining Insight: An Introspective Look At Pursuing Your Purpose,,,,,,3b1405c7-c37a-f111-ab0f-7c1e525b15c2
1759fcc8-c37a-f111-ab0f-000d3a14673b,More Than A Village: Raising Black Men in America,,,,,,1759fcc8-c37a-f111-ab0f-000d3a14673b
887835ca-c37a-f111-ab0f-6045bdd69678,My ABCs,,,,,,887835ca-c37a-f111-ab0f-6045bdd69678
a97835ca-c37a-f111-ab0f-6045bdd69678,SHE: An Expose' of Her Insufficiencies,,,,,,a97835ca-c37a-f111-ab0f-6045bdd69678
a32156cd-c37a-f111-ab0f-00224820105b,Speech Therapy Works!: Juliana's Story,,,,,,a32156cd-c37a-f111-ab0f-00224820105b
b27835ca-c37a-f111-ab0f-6045bdd69678,"Taylor Made: My Life, My Story",,,,,,b27835ca-c37a-f111-ab0f-6045bdd69678
d13274cd-c27a-f111-ab0f-6045bdd69435,The Doctrine of the Last Things,,,,,,d13274cd-c27a-f111-ab0f-6045bdd69435
ab2156cd-c37a-f111-ab0f-00224820105b,"The Essence of Life, Love Letters to Christ: Poems of Life and Love from the Pages of the Heart",,,,,,ab2156cd-c37a-f111-ab0f-00224820105b
0a6386cf-c37a-f111-ab0f-000d3a14673b,The Great Hair Restart: The Journal,,,,,,0a6386cf-c37a-f111-ab0f-000d3a14673b
9a2556cd-c37a-f111-ab0f-00224820105b,The Great Hair Restart: The Ultimate Guide to Resetting Your Natural Hair Journey with Confidence,,,,,,9a2556cd-c37a-f111-ab0f-00224820105b
5e4797d0-c27a-f111-ab0f-7c1e525b15c2,"The I Am In Me Part 2, Second Edition",,,,,,5e4797d0-c27a-f111-ab0f-7c1e525b15c2
5f4797d0-c27a-f111-ab0f-7c1e525b15c2,"The I Am in Me, Second Edition",,,,,,5f4797d0-c27a-f111-ab0f-7c1e525b15c2
