"run_id","run_sha","created_at","workflow","target","status","canonical_main_ahead","function_release_ahead","canonical_main_equivalence","deployed_runtime_equivalence","superseded_by_later_deployment","unique_runtime_value","safe_disposition","url"
"32683251652","655ce2f9496774d5c13c410fcf1f2178113078d0","2026-08-24T02:30:02Z","Diagnostic AI Runner CI/CD","jmerrill-pub-production","waiting","353","351","ANCESTOR_OF_CANONICAL_MAIN","ANCESTOR_OF_DEPLOYED_FUNCTION_RELEASE","YES","NONE","SAFE_TO_CANCEL","https://github.com/jmerrillorg/jmerrill-pub/actions/runs/32683251652"
"33063730775","c169795811795242b04f53082d1e0fb878a62154","2026-08-27T10:35:53Z","Diagnostic AI Runner CI/CD","jmerrill-pub-production","waiting","243","241","ANCESTOR_OF_CANONICAL_MAIN","ANCESTOR_OF_DEPLOYED_FUNCTION_RELEASE","YES","NONE","SAFE_TO_CANCEL","https://github.com/jmerrillorg/jmerrill-pub/actions/runs/33063730775"
"33065026121","985d2bff0f79452094c52855703900f1668d965b","2026-08-27T10:54:18Z","Diagnostic AI Runner CI/CD","jmerrill-pub-production","waiting","241","239","ANCESTOR_OF_CANONICAL_MAIN","ANCESTOR_OF_DEPLOYED_FUNCTION_RELEASE","YES","NONE","SAFE_TO_CANCEL","https://github.com/jmerrillorg/jmerrill-pub/actions/runs/33065026121"
"33095047714","2bc956ac211b16e335d9d1c099f10bd80d6cd48a","2026-08-27T16:47:27Z","Diagnostic AI Runner CI/CD","jmerrill-pub-production","waiting","234","232","ANCESTOR_OF_CANONICAL_MAIN","ANCESTOR_OF_DEPLOYED_FUNCTION_RELEASE","YES","NONE","SAFE_TO_CANCEL","https://github.com/jmerrillorg/jmerrill-pub/actions/runs/33095047714"
"33096086910","75f075d97d42ddd235c6f08039dd65facdc585fa","2026-08-27T16:59:35Z","Diagnostic AI Runner CI/CD","jmerrill-pub-production","waiting","232","230","ANCESTOR_OF_CANONICAL_MAIN","ANCESTOR_OF_DEPLOYED_FUNCTION_RELEASE","YES","NONE","SAFE_TO_CANCEL","https://github.com/jmerrillorg/jmerrill-pub/actions/runs/33096086910"
"33096633874","fa51293ec9e85854ba919f4169d9401cd797b754","2026-08-27T17:05:47Z","Diagnostic AI Runner CI/CD","jmerrill-pub-production","waiting","230","228","ANCESTOR_OF_CANONICAL_MAIN","ANCESTOR_OF_DEPLOYED_FUNCTION_RELEASE","YES","NONE","SAFE_TO_CANCEL","https://github.com/jmerrillorg/jmerrill-pub/actions/runs/33096633874"
"33097309915","206d9653d1413287db1a208f2f063e93f43b8c33","2026-08-27T17:13:36Z","Diagnostic AI Runner CI/CD","jmerrill-pub-production","waiting","228","226","ANCESTOR_OF_CANONICAL_MAIN","ANCESTOR_OF_DEPLOYED_FUNCTION_RELEASE","YES","NONE","SAFE_TO_CANCEL","https://github.com/jmerrillorg/jmerrill-pub/actions/runs/33097309915"
"33103453967","a860e7b04d64d4496658df0b69b3e0166ade8c4d","2026-08-27T18:26:15Z","Diagnostic AI Runner CI/CD","jmerrill-pub-production","waiting","217","215","ANCESTOR_OF_CANONICAL_MAIN","ANCESTOR_OF_DEPLOYED_FUNCTION_RELEASE","YES","NONE","SAFE_TO_CANCEL","https://github.com/jmerrillorg/jmerrill-pub/actions/runs/33103453967"
"34680884297","ae9901103eb259c30ee8ec7a08de344052575cf5","2026-09-12T07:29:56Z","Diagnostic AI Runner CI/CD","jmerrill-pub-production","waiting","107","105","ANCESTOR_OF_CANONICAL_MAIN","ANCESTOR_OF_DEPLOYED_FUNCTION_RELEASE","YES","NONE","SAFE_TO_CANCEL","https://github.com/jmerrillorg/jmerrill-pub/actions/runs/34680884297"
"35326344682","1b90b55ffe15304e110f7f1e439c2704dfc55a0e","2026-09-18T08:49:33Z","Diagnostic AI Runner CI/CD","jmerrill-pub-production","waiting","35","33","ANCESTOR_OF_CANONICAL_MAIN","ANCESTOR_OF_DEPLOYED_FUNCTION_RELEASE","YES","NONE","SAFE_TO_CANCEL","https://github.com/jmerrillorg/jmerrill-pub/actions/runs/35326344682"
"35442883101","0080546972efd7c2b9adebfcda09f005ea5c027a","2026-09-19T12:26:56Z","Diagnostic AI Runner CI/CD","jmerrill-pub-production","waiting","14","12","ANCESTOR_OF_CANONICAL_MAIN","ANCESTOR_OF_DEPLOYED_FUNCTION_RELEASE","YES","NONE","SAFE_TO_CANCEL","https://github.com/jmerrillorg/jmerrill-pub/actions/runs/35442883101"
"35443981240","843f2cba0a80f4caf53dce8011a50fad5e8e21cd","2026-09-19T12:49:48Z","Diagnostic AI Runner CI/CD","jmerrill-pub-production","waiting","13","11","ANCESTOR_OF_CANONICAL_MAIN","ANCESTOR_OF_DEPLOYED_FUNCTION_RELEASE","YES","NONE","SAFE_TO_CANCEL","https://github.com/jmerrillorg/jmerrill-pub/actions/runs/35443981240"
